DATE	00h	01h	02h	03h	04h	05h	06h	07h	08h	09h	10h	11h	12h	13h	14h	15h	16h	17h	18h	19h	20h	21h	22h	23h	00h	01h	02h	03h	04h	05h	06h	07h	08h	09h	10h	11h	12h	13h	14h	15h	16h	17h	18h	19h	20h	21h	22h	23h
30.07.2014	7	6	6	6	7	6	6	6	7	7	8	8	7	6	7	7	7	8	6	5	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.7	1.4	1.4	0.1	-1	-1	-1	
31.07.2014	2	7	9	9	9	10	10	7	7	7	9	8	8	9	8	8	9	8	7	7	8	8	7	7	-1	0.5	0.2	-1	0.2	0.6	-1	0.9	0.4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
01.08.2014	6	6	5	5	5	5	3	4	5	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
02.08.2014	7	6	6	7	7	7	6	6	7	7	8	8	8	8	10	10	9	9	9	10	12	11	11	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
03.08.2014	10	9	9	10	10	10	9	9	9	9	10	10	9	9	9	9	9	10	11	9	8	7	7	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
04.08.2014	6	5	5	5	6	6	5	4	5	5	7	7	6	6	5	5	4	6	4	5	5	3	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	0.6	-1	-1	-1	-1	-1	
05.08.2014	4	3	3	2	3	4	4	4	7	10	14	14	13	11	11	12	11	11	10	9	10	9	9	9	1.5	-1	3.9	4.2	3.5	3.3	3.2	0.3	1.5	2.8	2.1	0.4	0.2	0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
06.08.2014	9	8	7	6	6	6	4	4	4	4	5	6	7	6	6	5	6	6	6	5	6	7	6	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
07.08.2014	6	6	5	5	3	3	3	5	5	5	5	4	3	3	2	2	1	1	1	0	3	7	7	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
08.08.2014	5	5	1	1	0	0	0	2	1	2	2	2	3	2	2	3	4	5	5	1	3	7	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1.1	1.7	1.6	1.1	1.8	1.4	0.5	0.1	-1	-1	-1	-1	-1	-1	
09.08.2014	8	5	6	7	7	7	7	6	8	9	10	11	11	9	9	8	8	6	6	8	10	10	11	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	0.3	-1	
10.08.2014	12	9	8	7	4	2	3	4	3	3	4	5	5	5	8	8	8	8	9	8	11	12	12	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4.9	4.4	2.3	-1	-1	
11.08.2014	13	11	10	9	9	9	8	8	8	9	10	12	11	9	8	9	10	10	10	8	8	8	7	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.2	0.1	0.6	2.7	2.2	1.7	1.4	1	-1	-1	-1	-1	-1	-1	-1	
12.08.2014	7	6	6	7	7	7	6	5	7	8	11	13	13	11	11	12	14	13	11	7	2	3	7	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	0.2	-1	-1	-1	-1	-1	-1	-1	
13.08.2014	8	2	6	7	8	8	6	6	6	7	9	9	8	8	9	8	7	7	6	7	6	5	4	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.4	1.3	
14.08.2014	7	2	9	8	7	8	9	9	11	11	12	13	13	11	10	10	9	8	7	8	6	7	7	7	2.5	5.3	5.8	1.5	0.4	0.9	0.3	0.1	0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
15.08.2014	6	5	5	7	8	9	7	9	8	8	9	8	8	8	8	8	9	9	8	6	6	7	7	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
16.08.2014	7	3	4	5	5	6	6	5	7	9	12	13	14	11	12	12	12	11	9	8	8	9	9	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.2	0.1	-1	-1	-1	-1	-1	-1	-1	
17.08.2014	11	9	10	10	10	9	9	8	10	11	12	12	12	10	11	12	12	11	11	8	13	14	14	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
18.08.2014	15	13	14	14	14	14	14	12	14	14	16	16	16	14	16	16	15	14	16	14	15	15	15	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.7	1.3	0.6	1.1	-1	0.2	2.5	1	0.1	-1	-1	-1	-1	-1	
19.08.2014	14	14	14	13	12	12	11	11	11	11	12	13	13	11	10	11	11	10	9	8	10	11	12	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
20.08.2014	14	10	15	15	15	14	14	13	14	15	15	15	15	12	12	12	12	11	10	8	8	8	8	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
21.08.2014	7	5	4	5	6	6	5	3	5	5	7	7	8	7	6	7	7	7	6	3	1	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.5	0.1	-1	-1	-1	-1	
22.08.2014	3	1	4	7	7	8	7	4	5	7	9	10	11	9	9	10	10	8	8	6	6	7	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	-1	-1	-1	-1	1.1	
23.08.2014	8	6	7	8	8	8	8	5	6	9	10	11	11	9	9	10	9	8	7	7	2	1	1	1	0.6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
24.08.2014	1	2	1	1	1	2	4	3	5	8	8	9	12	9	12	13	13	11	11	9	9	11	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	0.2	0.3	1.4	0.2	0.2	-1	-1	-1	-1	-1	-1	-1	-1	-1	
25.08.2014	12	11	11	10	10	10	10	8	9	10	12	13	13	12	12	12	10	11	11	9	9	9	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
26.08.2014	11	6	4	4	1	0	1	1	3	3	2	1	1	2	2	3	4	4	6	3	3	3	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
27.08.2014	3	2	2	2	3	6	6	4	6	9	11	12	12	10	10	10	13	12	11	8	9	9	9	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.2	0.3	0.1	-1	-1	0.1	-1	-1	-1	-1	-1	
28.08.2014	9	7	7	8	8	8	7	6	6	7	10	11	10	8	7	7	7	6	6	2	0	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
29.08.2014	1	1	2	2	3	3	5	3	3	4	6	7	7	5	5	5	6	6	6	3	1	1	2	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.4	0.7	
30.08.2014	6	5	4	5	5	5	5	4	4	3	4	5	6	7	6	6	5	5	5	6	3	2	2	2	0.9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
31.08.2014	1	1	2	6	6	6	5	3	4	4	6	8	8	4	6	7	7	6	6	1	4	5	7	8	-1	-1	-1	-1	-1	-1	-1	0.6	0.2	0.4	0.2	-1	-1	-1	-1	-1	-1	-1	-1	2.7	1.9	0.2	0.2	0.2	
01.09.2014	9	7	8	9	10	11	11	8	9	10	9	9	9	7	8	8	9	9	9	7	8	9	9	8	-1	0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	0.1	0.1	-1	-1	-1	-1	-1	-1	-1	-1	
02.09.2014	8	9	9	9	8	9	10	9	9	9	9	8	8	8	5	4	2	1	3	8	9	10	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.2	-1	-1	-1	-1	-1	-1	-1	-1	
03.09.2014	10	9	9	10	10	10	10	9	10	10	12	12	12	9	10	11	10	10	11	10	10	9	9	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
04.09.2014	10	9	9	9	10	10	10	9	9	10	11	12	11	10	10	10	10	10	10	10	10	10	10	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
05.09.2014	10	9	9	9	9	9	9	9	9	8	8	8	8	8	9	9	10	9	10	10	9	9	9	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
06.09.2014	8	8	7	8	8	8	8	5	5	6	7	7	7	5	6	6	5	5	7	5	7	7	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
07.09.2014	7	6	6	6	7	7	7	4	4	6	8	7	6	5	5	5	6	6	7	8	8	9	9	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
08.09.2014	8	5	3	1	1	1	1	1	3	5	7	7	7	7	7	7	7	6	6	2	1	1	0	1	-1	3.1	4.5	3.9	2.8	1.8	1.6	-1	-1	-1	-1	-1	-1	-1	-1	0.1	-1	-1	-1	-1	-1	-1	-1	-1	
09.09.2014	0	1	1	1	1	3	4	3	4	4	10	11	11	11	11	11	10	9	8	8	7	7	8	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
10.09.2014	9	7	8	9	10	11	11	8	8	10	11	11	10	8	7	7	6	5	4	1	1	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	0.2	0.2	0.1	0.1	0.9	1.9	2.1	2.2	1.2	-1	-1	0.4	-1	-1	-1	-1	
11.09.2014	3	2	3	4	4	4	5	4	4	6	7	8	9	8	12	13	13	13	14	13	13	12	12	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
12.09.2014	12	12	12	12	12	11	11	10	10	11	11	11	11	11	11	11	10	10	10	9	9	9	8	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
13.09.2014	9	7	7	7	7	8	8	5	6	6	7	7	8	7	6	6	7	7	7	6	7	8	8	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
14.09.2014	8	7	8	9	10	11	11	10	10	11	11	11	12	12	13	13	13	13	13	12	11	11	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
15.09.2014	11	9	10	10	11	11	11	10	9	11	12	12	13	11	12	12	12	12	12	12	12	12	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
16.09.2014	11	11	10	10	10	10	10	8	8	9	11	11	11	9	10	10	10	10	11	11	11	11	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
17.09.2014	11	10	10	10	10	11	11	9	9	10	11	11	11	10	11	12	12	11	11	11	11	11	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
18.09.2014	11	10	10	10	10	10	10	9	9	10	10	10	10	9	10	10	10	10	10	10	9	9	9	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
19.09.2014	10	9	9	9	10	10	9	9	9	10	11	11	11	8	9	10	10	8	8	6	3	5	7	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
20.09.2014	8	5	3	3	5	6	6	3	2	2	2	2	2	1	1	1	2	2	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
21.09.2014	1	2	1	1	0	0	0	0	1	3	4	5	6	6	8	9	9	9	9	10	11	12	12	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.4	-1	-1	-1	-1	
22.09.2014	12	11	12	12	11	9	11	10	10	13	14	15	14	11	10	10	10	10	11	10	11	11	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.1	-1	0.6	0.3	-1	-1	-1	-1	-1	
23.09.2014	12	8	13	15	15	16	15	15	16	15	14	14	14	11	12	11	10	9	8	9	7	3	2	1	-1	-1	-1	-1	-1	-1	0.2	0.3	0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
24.09.2014	2	1	3	5	7	7	8	8	7	7	8	9	11	7	10	10	9	10	10	9	9	9	8	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
25.09.2014	9	6	7	8	9	10	11	7	9	11	13	14	13	13	14	14	12	15	14	12	13	14	13	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.2	0.6	1.7	0.4	-1	0.1	-1	-1	-1	
26.09.2014	10	7	6	7	7	7	7	6	5	6	6	6	5	6	8	9	8	6	8	7	8	8	9	10	-1	-1	-1	0.2	0.3	0.3	0.2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.5	
27.09.2014	11	10	10	10	12	12	11	9	7	9	10	11	10	9	10	10	10	10	9	7	7	7	7	7	0.3	-1	0.1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
28.09.2014	7	5	6	6	7	7	6	5	3	4	7	7	7	7	7	8	7	7	7	6	3	3	5	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
29.09.2014	6	2	2	3	6	7	7	5	4	4	6	7	7	5	5	6	6	6	6	2	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
30.09.2014	0	1	1	1	1	1	1	2	1	1	1	1	2	1	0	0	1	2	2	5	7	8	9	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0.4	-1	0.3	0.6	0.7	0.5	-1	0.3	0.2	0.2	0.3	0.4	
01.10.2014	9	9	9	9	8	8	8	7	5	7	7	7	7	5	6	6	6	7	7	6	5	5	6	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
